BARGE,SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,EXTERNALCODE,CODE,PORT_FROM,IE,SCOPEINLOCATION,SCOPEOUTLOCATION
AMI,38780,2026-02-20 09:00:00+00:00,2026-02-21 08:00:00+00:00,38780.0,AMI0233,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMI,38780,2026-02-20 09:00:00+00:00,2026-02-21 08:00:00+00:00,38780.0,AMI0234,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMI,38920,2026-02-25 09:00:00+00:00,2026-02-25 15:00:00+00:00,38920.0,AMI0235,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMO,38880,2026-02-20 15:00:00+00:00,2026-02-20 23:00:00+00:00,38880.0,AMO0001,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38061,2026-02-02 07:00:00+00:00,2026-02-02 22:00:00+00:00,38061.0,ANT0760,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38061,2026-02-02 07:00:00+00:00,2026-02-02 22:00:00+00:00,38061.0,ANT0761,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38220,2026-02-04 08:00:00+00:00,2026-02-05 04:00:00+00:00,38220.0,ANT0762,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38220,2026-02-04 08:00:00+00:00,2026-02-05 04:00:00+00:00,38220.0,ANT0763,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38122,2026-02-09 07:30:00+00:00,2026-02-10 08:00:00+00:00,38122.0,ANT0764,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38122,2026-02-09 07:30:00+00:00,2026-02-10 08:00:00+00:00,38122.0,ANT0765,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38600,2026-02-11 09:00:00+00:00,2026-02-12 02:00:00+00:00,,,,,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38523,2026-02-16 07:00:00+00:00,2026-02-17 06:00:00+00:00,38523.0,ANT0768,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38523,2026-02-16 07:00:00+00:00,2026-02-17 06:00:00+00:00,38523.0,ANT0769,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38560,2026-02-18 07:00:00+00:00,2026-02-19 12:00:00+00:00,38560.0,ANT0770,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38560,2026-02-18 07:00:00+00:00,2026-02-19 12:00:00+00:00,38560.0,ANT0771,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38560,2026-02-18 07:00:00+00:00,2026-02-19 12:00:00+00:00,38560.0,ALF1980,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38560,2026-02-18 07:00:00+00:00,2026-02-19 12:00:00+00:00,38560.0,ALF1981,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38580,2026-02-23 07:00:00+00:00,2026-02-23 18:00:00+00:00,38580.0,ANT0772,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38580,2026-02-23 07:00:00+00:00,2026-02-23 18:00:00+00:00,38580.0,ANT0773,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38981,2026-02-25 08:00:00+00:00,2026-02-26 08:00:00+00:00,38981.0,ANT0774,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ANT,38981,2026-02-25 08:00:00+00:00,2026-02-26 08:00:00+00:00,38981.0,ANT0775,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38201,2026-02-03 21:00:00+00:00,2026-02-04 18:00:00+00:00,38201.0,DEC0072,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38201,2026-02-03 21:00:00+00:00,2026-02-04 18:00:00+00:00,38201.0,DEC0073,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38222,2026-02-05 21:00:00+00:00,2026-02-06 20:00:00+00:00,38222.0,DEC0074,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38222,2026-02-05 21:00:00+00:00,2026-02-06 20:00:00+00:00,38222.0,DEC0075,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38401,2026-02-09 10:00:00+00:00,2026-02-10 12:00:00+00:00,38401.0,DEC0076,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38401,2026-02-09 10:00:00+00:00,2026-02-10 12:00:00+00:00,38401.0,DEC0077,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38500,2026-02-11 14:00:00+00:00,2026-02-12 06:00:00+00:00,38500.0,DEC0078,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38500,2026-02-11 14:00:00+00:00,2026-02-12 06:00:00+00:00,38500.0,DEC0079,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
DEC,38522,2026-02-13 14:00:00+00:00,2026-02-14 14:00:00+00:00,38522.0,DEC0080,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38160,2026-02-03 14:30:00+00:00,2026-02-04 05:00:00+00:00,38160.0,FRS0860,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38160,2026-02-03 14:30:00+00:00,2026-02-04 05:00:00+00:00,38160.0,FRS0861,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38280,2026-02-06 00:00:00+00:00,2026-02-06 15:00:00+00:00,38280.0,FRS0862,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38280,2026-02-06 00:00:00+00:00,2026-02-06 15:00:00+00:00,38280.0,FRS0863,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38300,2026-02-08 00:00:00+00:00,2026-02-09 03:00:00+00:00,38300.0,FRS0864,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38300,2026-02-08 00:00:00+00:00,2026-02-09 03:00:00+00:00,38300.0,FRS0865,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38301,2026-02-10 12:30:00+00:00,2026-02-11 05:00:00+00:00,38301.0,FRS0866,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
