SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,SCOPEINLOCATION,SCOPEOUTLOCATION,EXTERNALCODE,CODE,IE,PORT_FROM,VOYELM_TOTALTEU,VOYELM_TOTALWEIGHT,VOYELM_MAXTEU,TOTAL20,TOTAL30,TOTAL40,UNITEXP_VOYAGE_EXP
38480,2026-02-14 15:00:00+00:00,2026-02-16 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38480.0,"AFS0763,AFS0764","E,I","ROTTE,VEGHE",421.0,2990661.0,156.0,28.0,0.0,128.0,15
38481,2026-02-12 08:00:00+00:00,2026-02-12 18:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38481.0,"LRD0220,LRD0221","E,I","ROTTE,VEGHE",155.0,1297904.0,105.0,1.0,0.0,77.0,3
38500,2026-02-11 14:00:00+00:00,2026-02-12 06:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38500.0,"DEC0078,DEC0079","E,I","ROTTE,VEGHE",134.75,1060193.0,81.0,0.0,0.0,1.0,1
38501,2026-02-12 14:00:00+00:00,2026-02-13 15:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38501.0,"ALL0042,ALL0043","E,I","ROTTE,VEGHE",0.0,0.0,90.0,5.0,0.0,34.0,3
38520,2026-02-12 15:30:00+00:00,2026-02-13 13:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38520.0,"VIC2721,VIC2722","E,I","ROTTE,VEGHE",55.0,238099.0,108.0,0.0,0.0,63.0,6
38522,2026-02-13 14:00:00+00:00,2026-02-14 14:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38522.0,DEC0080,E,VEGHE,72.0,768376.0,81.0,4.0,0.0,34.0,9
38523,2026-02-16 07:00:00+00:00,2026-02-17 06:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38523.0,"ANT0768,ANT0769","E,I","ROTTE,VEGHE",315.0,656325.0,156.0,28.0,0.0,88.0,13
38540,2026-02-13 16:00:00+00:00,2026-02-14 19:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38540.0,"MEY0164,MEY0165","E,I","KAT,ROTTE",322.0,3905565.0,156.0,29.0,0.0,90.0,2
38541,2026-02-12 18:00:00+00:00,2026-02-13 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38541.0,"FRS0868,FRS0869","E,I","KAT,ROTTE",436.0,3689505.0,156.0,27.0,0.0,137.0,3
38542,2026-02-15 15:00:00+00:00,2026-02-16 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38542.0,"VIC2723,VIC2724","E,I","ROTTE,VEGHE",0.0,0.0,108.0,32.0,0.0,56.0,0
38543,2026-02-15 04:00:00+00:00,2026-02-16 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38543.0,"FRS0870,FRS0871","E,I","OSS,ROTTE",249.0,1144841.0,156.0,1.0,0.0,123.0,4
38544,2026-02-17 09:00:00+00:00,2026-02-18 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38544.0,"MEY0166,MEY0167","E,I","OSS,ROTTE",357.0,1685844.0,156.0,19.0,0.0,155.0,31
38545,2026-02-17 09:00:00+00:00,2026-02-18 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38545.0,"ALL0044,ALL0045","E,I","ROTTE,VEGHE",72.0,164700.0,90.0,36.0,0.0,18.0,7
38560,2026-02-18 07:00:00+00:00,2026-02-19 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38560.0,"ALF1980,ALF1981,ANT0770,ANT0771","E,I","ROTTE,VEGHE",317.5,1925489.0,156.0,9.0,0.0,95.0,0
38580,2026-02-23 07:00:00+00:00,2026-02-23 18:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38580.0,"ANT0772,ANT0773","E,I","ROTTE,VEGHE",190.0,1157353.0,156.0,8.0,0.0,101.0,42
38620,2026-02-18 07:00:00+00:00,2026-02-19 05:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38620.0,"AFS0765,AFS0766","E,I","ROTTE,TIEL",283.0,1655793.0,156.0,63.0,0.0,70.0,13
38640,2026-02-17 10:00:00+00:00,2026-02-18 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38640.0,"AMI0231,AMI0232","E,I","ROTTE,TIEL",424.0,2764060.0,208.0,6.0,0.0,138.0,39
38641,2026-02-16 13:00:00+00:00,2026-02-16 22:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38641.0,"FRS0874,FRS0875,LRD0222,LRD0223","E,I","OSS,ROTTE,TIEL",604.0,5425896.0,156.0,18.0,0.0,60.0,4
38643,2026-02-17 15:30:00+00:00,2026-02-18 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38643.0,"VIC2725,VIC2726","E,I","ROTTE,VEGHE",48.0,356213.0,108.0,16.0,0.0,52.0,0
38661,2026-02-19 13:00:00+00:00,2026-02-20 12:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38661.0,"ALL0046,ALL0047","E,I","ROTTE,VEGHE",92.0,1087202.0,90.0,0.0,0.0,42.0,1
38680,2026-02-13 19:00:00+00:00,2026-02-14 19:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38680.0,"ALF1976,ALF1977","E,I","ROTTE,VEGHE",90.0,781134.0,90.0,0.0,0.0,45.0,4
38681,2026-02-17 21:00:00+00:00,2026-02-18 10:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38681.0,"FRS0872,FRS0873","E,I","KAT,ROTTE",592.0,5405362.0,156.0,11.0,0.0,163.0,2
38701,2026-02-16 17:00:00+00:00,2026-02-17 09:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38701.0,LEE0057,I,ROTTE,0.0,0.0,90.0,10.0,0.0,3.0,0
38720,2026-02-19 17:00:00+00:00,2026-02-20 15:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38720.0,"MEY0168,MEY0169","E,I","KAT,ROTTE",75.25,148700.0,156.0,7.0,0.0,33.0,12
38740,2026-02-18 13:00:00+00:00,2026-02-19 02:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38740.0,"LRD0224,LRD0225","E,I","ROTTE,VEGHE",163.0,2543441.0,105.0,23.0,0.0,76.0,7
38741,2026-02-22 10:00:00+00:00,2026-02-23 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38741.0,"MEY0170,MEY0171","E,I","KAT,ROTTE",254.0,2640427.0,156.0,2.0,0.0,116.0,0
38761,2026-02-19 15:00:00+00:00,2026-02-20 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38761.0,"VIC2727,VIC2728","E,I","ROTTE,VEGHE",0.0,0.0,108.0,4.0,0.0,69.0,4
38762,2026-02-18 17:00:00+00:00,2026-02-18 23:30:00+00:00,BRIENENOORDBRUG,BRIENENOORDBRUG,38762.0,LEH0043,E,TIEL,78.0,152100.0,90.0,0.0,0.0,39.0,1
38764,2026-02-20 20:00:00+00:00,2026-02-21 18:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38764.0,"AFS0767,AFS0768","E,I","ROTTE,TIEL",278.0,1795851.0,156.0,25.0,0.0,74.0,8
38780,2026-02-20 09:00:00+00:00,2026-02-21 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38780.0,"AMI0233,AMI0234","E,I","ROTTE,TIEL",389.0,2931494.0,208.0,23.0,0.0,124.0,23
38800,2026-02-20 23:00:00+00:00,2026-02-21 18:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38800.0,"LRD0226,LRD0227","E,I","OSS,ROTTE",133.0,2282351.0,105.0,33.0,0.0,67.0,29
38801,2026-02-22 15:00:00+00:00,2026-02-23 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38801.0,"VIC2729,VIC2730","E,I","ROTTE,VEGHE",0.0,0.0,108.0,38.0,0.0,68.0,25
38820,2026-02-23 20:00:00+00:00,2026-02-25 11:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38820.0,"AFS0769,AFS0770","E,I","OSS,ROTTE",261.0,1131260.0,156.0,4.0,0.0,107.0,26
38821,2026-02-23 18:00:00+00:00,2026-02-25 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38821.0,"ALF1984,ALF1985","E,I","ROTTE,VEGHE",52.0,121800.0,90.0,0.0,0.0,26.0,6
38840,2026-02-22 14:30:00+00:00,2026-02-23 07:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38840.0,"FRS0876,FRS0877","E,I","ROTTE,TIEL",259.0,2241336.0,156.0,8.0,0.0,144.0,19
